"Doc No","Type","Date","Debit","Credit","Notes"
"","Opening Balance","","24962.14","0.00",""
"","Invoice / Sales","18/07/2026","","2028.81","Services removed for this vendor from booking #PLN-1933081"
"","Invoice / Sales","18/07/2026","2028.81","","Initial vendor invoice cost recorded for booking #TT00960"
"","Invoice / Sales","18/07/2026","2028.81","","Initial vendor invoice cost recorded for booking #PLN-1933081"
"","Refund from Vendor","16/07/2026","368.80","","Services: SV119 (King Abdulaziz International Airport (JED) to London Heathrow Airport (LHR)), SV591 (Dubai International Airport Al (DXB) to King Abdulaziz International Airport (JED))"
"","VENDOR_DISCOUNT","15/07/2026","","20.00","Services: QR 9709 (Doha Hamad Intl Airport (DOH) to London Heathrow Airport (LHR)), QR 1188 (Jeddah King Abdulaziz Intl Airport (JED) to Doha Hamad Intl Airport (DOH))"
"","VENDOR_DISCOUNT","15/07/2026","","40.00","Services: GF 184 (King Abdulaziz International Airport (JED) to Bahrain International (BAH)), GF 7 (Bahrain International (BAH) to London Heathrow Airport (LHR))"
"","VENDOR_DISCOUNT","15/07/2026","","20.00","Services: QR 1183 (Jeddah King Abdulaziz Intl Airport (JED) to Doha Hamad Intl Airport (DOH)), QR 9709 (Doha Hamad Intl Airport (DOH) to London Heathrow Airport (LHR))"
"","Invoice / Sales","14/07/2026","865.47","","Booking vendor invoice adjustment: original cost updated from 2456.9 to 3322.37"
"VP-20260713-000002","Vendor Payment","13/07/2026","","763.63","Cash payment allocation from reference VP-20260713-000002"
"VP-20260713-000002","Vendor Payment","13/07/2026","","2707.10","Cash payment allocation from reference VP-20260713-000002"
"VP-20260713-000002","Vendor Payment","13/07/2026","","319.02","Cash payment allocation from reference VP-20260713-000002"
"VP-20260713-000002","Vendor Payment","13/07/2026","","1249.49","Cash payment allocation from reference VP-20260713-000002"
"VP-20260713-000002","Vendor Payment","13/07/2026","","245.30","Cash payment allocation from reference VP-20260713-000002"
"VP-20260713-000002","Vendor Payment","13/07/2026","","1215.46","Cash payment allocation from reference VP-20260713-000002"
"","Invoice / Sales","13/07/2026","9952.77","","Initial vendor invoice cost recorded for booking #TT00986"
"VP-20260713-000001","Vendor Payment","13/07/2026","","1500.00","Cash payment allocation from reference VP-20260713-000001"
"","Invoice / Sales","13/07/2026","1494.60","","Initial vendor invoice cost recorded for booking #TT00987"
"","Invoice / Sales","11/07/2026","0.80","","Booking vendor invoice adjustment: original cost updated from 238 to 238.8"
"","Invoice / Sales","11/07/2026","238.00","","Initial vendor invoice cost recorded for booking #TT00985"
"","Invoice / Sales","11/07/2026","2136.56","","Initial vendor invoice cost recorded for booking #TT00984"
"","Invoice / Sales","10/07/2026","2456.90","","Initial vendor invoice cost recorded for booking #TT00947"
"VP-20260709-000002","Vendor Payment","09/07/2026","","2517.74","Cash payment allocation from reference VP-20260709-000002"
"VP-20260709-000002","Vendor Payment","09/07/2026","","94.82","Cash payment allocation from reference VP-20260709-000002"
"VP-20260709-000002","Vendor Payment","09/07/2026","","0.00","Cash payment allocation from reference VP-20260709-000002"
"VP-20260709-000002","Vendor Payment","09/07/2026","","2837.44","Cash payment allocation from reference VP-20260709-000002"
"","Invoice / Sales","09/07/2026","5451.40","","Initial vendor invoice cost recorded for booking #TT00982"
"","Invoice / Sales","09/07/2026","1033.60","","Booking vendor invoice adjustment: original cost updated from 4199.6 to 5233.200000000001"
"","Invoice / Sales","09/07/2026","681.80","","Booking vendor invoice adjustment: original cost updated from 3517.8 to 4199.6"
"","Invoice / Sales","09/07/2026","673.60","","Booking vendor invoice adjustment: original cost updated from 2844.2 to 3517.8"
"","Invoice / Sales","09/07/2026","2344.40","","Booking vendor invoice adjustment: original cost updated from 499.8 to 2844.2000000000003"
"","Invoice / Sales","09/07/2026","499.80","","Initial vendor invoice cost recorded for booking #TT00912"
"","Invoice / Sales","08/07/2026","2379.10","","Booking vendor invoice adjustment: original cost updated from 328 to 2707.1"
"","Invoice / Sales","08/07/2026","328.00","","Initial vendor invoice cost recorded for booking #TT00910"
"","Invoice / Sales","08/07/2026","","2394.10","Services removed for this vendor from booking #TT00910"
"","Invoice / Sales","08/07/2026","","328.00","Booking vendor invoice adjustment: original cost updated from 2722.1 to 2394.1"
"","Invoice / Sales","07/07/2026","1418.72","","Booking vendor invoice adjustment: original cost updated from 1418.72 to 2837.44"
"","Invoice / Sales","07/07/2026","1418.72","","Initial vendor invoice cost recorded for booking #TT00924"
"","Invoice / Sales","07/07/2026","","1169.76","Services removed for this vendor from booking #TT00944"
"","Invoice / Sales","07/07/2026","","2717.07","Booking vendor invoice adjustment: original cost updated from 2717.07 to 0"
"","Invoice / Sales","07/07/2026","2717.07","","Initial vendor invoice cost recorded for booking #TT00925"
"","Invoice / Sales","07/07/2026","","188.30","Booking vendor invoice adjustment: original cost updated from 381.9 to 193.6"
"","Invoice / Sales","07/07/2026","188.30","","Booking vendor invoice adjustment: original cost updated from 193.6 to 381.9"
"VP-20260706-000003","Vendor Payment","06/07/2026","","207.94","Cash payment allocation from reference VP-20260706-000003"
"VP-20260706-000003","Vendor Payment","06/07/2026","","892.06","Cash payment allocation from reference VP-20260706-000003"
"","Invoice / Sales","06/07/2026","1169.76","","Initial vendor invoice cost recorded for booking #TT00944"
"","Invoice / Sales","06/07/2026","3760.38","","Initial vendor invoice cost recorded for booking #TT00951"
"","Invoice / Sales","06/07/2026","575.18","","Initial vendor invoice cost recorded for booking #TT00954"
"","Invoice / Sales","06/07/2026","302.76","","Initial vendor invoice cost recorded for booking #TT00959"
"","Invoice / Sales","06/07/2026","670.52","","Booking vendor invoice adjustment: original cost updated from 619.2 to 1289.72"
"","Invoice / Sales","06/07/2026","","548.52","Booking vendor invoice adjustment: original cost updated from 1167.72 to 619.2"
"","Invoice / Sales","06/07/2026","619.20","","Booking vendor invoice adjustment: original cost updated from 548.52 to 1167.72"
"","Invoice / Sales","06/07/2026","548.52","","Initial vendor invoice cost recorded for booking #TT00962"
"VP-20260706-000001","Vendor Payment","06/07/2026","","3113.22","Cash payment allocation from reference VP-20260706-000001"
"VP-20260706-000001","Wallet Usage","06/07/2026","","1.60","Wallet credit allocation from transaction VP-20260706-000001"
"VP-20260706-000001","Vendor Payment","06/07/2026","","885.18","Cash payment allocation from reference VP-20260706-000001"
"","Invoice / Sales","06/07/2026","4005.28","","Initial vendor invoice cost recorded for booking #TT00973"
"","Invoice / Sales","04/07/2026","670.90","","Initial vendor invoice cost recorded for booking #TT00976"
"","Invoice / Sales","03/07/2026","","840.18","Services removed for this vendor from booking #TT00977"
"","Invoice / Sales","03/07/2026","840.18","","Initial vendor invoice cost recorded for booking #TT00977"
"VP-20260703-000001","Wallet Credit","03/07/2026","1.60","","Surplus cash transferred to wallet credit"
"VP-20260703-000001","Vendor Payment","03/07/2026","","1.60","Overpayment cash processed from payment VP-20260703-000001"
"VP-20260703-000001","Vendor Payment","03/07/2026","","443.40","Cash payment allocation from reference VP-20260703-000001"
"","Invoice / Sales","03/07/2026","443.40","","Initial vendor invoice cost recorded for booking #TT00972"
"","Invoice / Sales","03/07/2026","","443.40","Services removed for this vendor from booking #TT00972"
"","Invoice / Sales","03/07/2026","","443.40","Booking vendor invoice adjustment: original cost updated from 886.8 to 443.4"
"","Invoice / Sales","03/07/2026","443.40","","Booking vendor invoice adjustment: original cost updated from 443.4 to 886.8"
"","Invoice / Sales","03/07/2026","443.40","","Initial vendor invoice cost recorded for booking #TT00972"
"","Invoice / Sales","01/07/2026","886.78","","Initial vendor invoice cost recorded for booking #TT00967"
"","Invoice / Sales","24/06/2026","","1111.77","Booking vendor invoice adjustment: original cost updated from 3322.37 to 2210.6"
"","Invoice / Sales","24/06/2026","852.60","","Initial vendor invoice cost recorded for booking #TT00949"
"","Invoice / Sales","24/06/2026","368.80","","Booking vendor invoice adjustment: original cost updated from 920.9200000000001 to 1289.72"
"","Invoice / Sales","06/06/2026","635.78","","Initial vendor invoice cost recorded for booking #TT00937"
"","Period Total","","57944.47","31288.31",""
"","Closing Balance","","51618.30","0.00",""
"","Final Closing Balance","","51618.30","0.00",""
